r0, g0, b0,r1, g1, b1,r2, g2, b2,r3, g3, b3,r4, g4, b4,r5, g5, b5,r6, g6, b6,qualidade
75, 74, 57, 94, 92, 72, 118, 115, 90, 153, 151, 137, 191, 189, 172, 239, 236, 215, 72, 74, 94,0
61, 46, 40, 92, 69, 60, 138, 104, 90, 152, 121, 103, 190, 151, 129, 238, 189, 161, 60, 83, 92,0
26, 13, 1, 52, 26, 3, 79, 39, 4, 46, 33, 17, 93, 67, 35, 140, 101, 53, 3, 29, 52,1
150, 150, 151, 188, 188, 189, 235, 235, 236, 28, 24, 25, 57, 48, 51, 86, 72, 76, 189, 189, 188,1
1, 1, 1, 2, 3, 3, 3, 5, 5, 151, 159, 163, 189, 198, 204, 236, 248, 255, 3, 2, 2,0
75, 62, 91, 94, 78, 114, 117, 98, 143, 3, 2, 4, 6, 4, 8, 9, 6, 12, 98, 114, 78,0
0, 0, 0, 1, 1, 1, 2, 2, 2, 162, 162, 162, 203, 203, 203, 254, 254, 254, 1, 1, 1,1
136, 112, 120, 170, 140, 150, 213, 175, 188, 47, 40, 44, 95, 81, 89, 143, 122, 134, 140, 170, 160,1
39, 86, 81, 49, 108, 101, 62, 135, 127, 94, 148, 146, 117, 185, 183, 147, 231, 228, 108, 49, 56,1
150, 149, 144, 187, 187, 181, 234, 234, 226, 53, 58, 86, 67, 73, 107, 83, 92, 134, 181, 181, 187,0
149, 186, 190, 187, 232, 237, 234, 255, 255, 37, 58, 34, 47, 72, 43, 59, 90, 54, 237, 192, 187,0
90, 126, 83, 113, 158, 104, 141, 197, 130, 43, 63, 46, 65, 95, 69, 97, 143, 104, 149, 104, 158,0
21, 9, 4, 42, 19, 8, 63, 29, 12, 152, 101, 47, 190, 127, 59, 238, 158, 74, 8, 31, 42,1
49, 44, 47, 98, 88, 94, 147, 133, 141, 149, 142, 146, 187, 177, 182, 234, 221, 228, 88, 98, 92,1
143, 142, 134, 179, 178, 168, 224, 223, 210, 65, 56, 55, 98, 84, 83, 148, 126, 125, 168, 169, 179,0
124, 125, 134, 155, 156, 167, 194, 195, 209, 3, 2, 3, 6, 5, 6, 9, 8, 9, 167, 166, 155,0
79, 42, 24, 99, 52, 30, 124, 66, 38, 136, 106, 82, 170, 132, 103, 212, 165, 129, 30, 77, 99,1
65, 48, 34, 97, 72, 52, 146, 108, 78, 167, 147, 129, 209, 184, 162, 255, 231, 202, 52, 77, 97,1
68, 62, 50, 102, 93, 75, 153, 140, 113, 144, 136, 116, 181, 170, 145, 226, 212, 181, 75, 84, 102,1
28, 23, 17, 56, 47, 35, 84, 70, 52, 112, 105, 93, 140, 132, 116, 175, 165, 145, 35, 44, 56,0
8, 11, 8, 17, 23, 17, 26, 34, 26, 127, 136, 136, 159, 171, 171, 199, 214, 213, 23, 17, 23,0
68, 68, 68, 102, 102, 102, 153, 153, 153, 6, 6, 6, 12, 12, 12, 18, 18, 18, 102, 102, 102,0
82, 79, 68, 103, 98, 85, 129, 123, 106, 29, 30, 23, 59, 60, 47, 88, 91, 71, 85, 90, 103,1
120, 108, 47, 150, 135, 59, 187, 169, 74, 68, 66, 7, 85, 83, 8, 107, 104, 11, 59, 74, 150,1
84, 71, 54, 105, 89, 67, 131, 111, 84, 56, 25, 25, 85, 38, 37, 127, 57, 56, 67, 83, 105,0
121, 120, 85, 151, 150, 106, 189, 188, 133, 22, 40, 11, 44, 81, 22, 66, 122, 33, 106, 107, 151,0
151, 147, 151, 188, 184, 189, 236, 230, 236, 9, 19, 104, 12, 24, 130, 15, 30, 163, 185, 189, 184,1
152, 144, 138, 191, 181, 172, 239, 226, 215, 4, 4, 3, 9, 9, 7, 14, 14, 11, 172, 182, 191,1
161, 161, 160, 201, 201, 201, 251, 251, 251, 115, 120, 71, 144, 150, 89, 180, 188, 111, 201, 201, 201,1
0, 0, 0, 1, 1, 1, 2, 2, 2, 162, 162, 162, 203, 203, 203, 254, 254, 254, 1, 1, 1,0
85, 59, 45, 107, 74, 57, 134, 93, 71, 116, 130, 144, 145, 162, 180, 181, 203, 226, 57, 90, 107,0
39, 43, 48, 79, 86, 96, 119, 130, 144, 111, 117, 123, 139, 146, 153, 174, 183, 192, 96, 89, 79,0
138, 77, 62, 172, 96, 78, 215, 120, 97, 69, 26, 21, 86, 33, 26, 107, 42, 33, 78, 154, 172,1
65, 56, 54, 98, 85, 81, 147, 127, 122, 145, 160, 161, 181, 200, 202, 227, 250, 252, 81, 94, 98,1
136, 135, 134, 170, 169, 168, 212, 212, 210, 81, 80, 79, 101, 100, 99, 127, 125, 124, 168, 169, 170,0
46, 59, 18, 58, 74, 23, 72, 93, 29, 115, 128, 67, 144, 160, 84, 180, 200, 105, 39, 23, 74,0
34, 34, 34, 68, 68, 68, 102, 103, 102, 132, 132, 132, 165, 165, 165, 207, 207, 207, 68, 68, 68,1
48, 48, 48, 97, 97, 97, 145, 145, 145, 119, 119, 119, 149, 149, 149, 186, 186, 186, 97, 97, 97,1
26, 38, 65, 39, 57, 97, 59, 85, 146, 104, 98, 106, 131, 123, 133, 163, 154, 166, 97, 79, 39,1
119, 119, 122, 148, 148, 153, 186, 186, 191, 89, 69, 44, 111, 86, 55, 139, 108, 69, 153, 153, 148,0
68, 62, 59, 86, 77, 74, 107, 97, 93, 140, 140, 146, 175, 175, 182, 219, 219, 228, 74, 83, 86,0
30, 9, 2, 61, 19, 5, 91, 29, 8, 166, 154, 68, 207, 193, 85, 255, 241, 106, 5, 47, 61,0
1, 5, 0, 3, 11, 1, 5, 16, 1, 97, 103, 45, 121, 129, 57, 152, 161, 71, 9, 1, 11,1
67, 67, 67, 100, 100, 100, 151, 151, 151, 127, 127, 127, 159, 159, 159, 199, 199, 199, 100, 100, 100,1
17, 55, 70, 22, 68, 88, 27, 86, 110, 100, 122, 136, 125, 153, 170, 157, 191, 213, 88, 42, 22,0
115, 141, 156, 144, 177, 196, 180, 221, 245, 47, 61, 77, 59, 76, 96, 74, 95, 120, 196, 163, 144,0
137, 137, 146, 171, 171, 182, 214, 214, 228, 53, 57, 73, 66, 72, 91, 83, 90, 114, 182, 182, 171,1
157, 105, 60, 196, 131, 75, 245, 164, 94, 39, 20, 9, 79, 41, 18, 119, 62, 28, 75, 140, 196,1
56, 58, 52, 84, 88, 79, 126, 132, 119, 116, 113, 98, 146, 142, 123, 182, 177, 153, 83, 79, 88,1
148, 158, 7, 185, 198, 9, 231, 248, 12, 34, 56, 1, 52, 84, 2, 78, 127, 3, 22, 9, 198,0
141, 142, 141, 176, 177, 176, 220, 222, 221, 62, 64, 73, 78, 80, 91, 97, 101, 114, 177, 176, 177,0
44, 45, 47, 89, 90, 94, 134, 136, 142, 140, 140, 140, 175, 175, 175, 219, 219, 219, 94, 93, 89,0
146, 149, 143, 183, 186, 179, 229, 233, 224, 65, 64, 60, 81, 80, 75, 102, 100, 93, 182, 179, 186,1
0, 0, 0, 1, 1, 1, 2, 2, 2, 162, 162, 162, 203, 203, 203, 254, 254, 254, 1, 1, 1,1
62, 55, 52, 93, 83, 79, 140, 125, 118, 136, 130, 123, 170, 163, 154, 212, 203, 192, 79, 89, 93,0
159, 122, 95, 198, 153, 118, 248, 191, 148, 31, 45, 30, 63, 91, 60, 94, 136, 90, 118, 163, 198,0
158, 155, 153, 197, 193, 192, 247, 242, 240, 63, 69, 76, 78, 87, 95, 98, 109, 119, 192, 196, 197,1
137, 136, 136, 171, 170, 170, 214, 212, 213, 104, 50, 54, 130, 63, 68, 163, 79, 85, 170, 171, 171,1
2, 2, 2, 5, 5, 4, 7, 8, 6, 136, 133, 123, 171, 166, 153, 214, 208, 192, 4, 4, 5,1
47, 47, 47, 95, 95, 95, 143, 143, 143, 138, 138, 138, 172, 172, 172, 215, 215, 215, 95, 95, 95,0
64, 64, 65, 80, 80, 82, 100, 100, 102, 140, 140, 141, 175, 175, 176, 218, 219, 221, 82, 82, 80,0
100, 124, 157, 125, 155, 196, 157, 193, 245, 56, 48, 117, 70, 60, 146, 88, 75, 183, 196, 166, 125,0
42, 85, 128, 53, 107, 160, 66, 134, 200, 153, 150, 150, 191, 187, 187, 239, 234, 234, 160, 106, 53,1
37, 47, 61, 46, 58, 76, 58, 73, 96, 91, 123, 150, 114, 154, 188, 143, 193, 235, 76, 64, 46,1
18, 5, 7, 36, 10, 15, 55, 15, 22, 79, 51, 77, 99, 64, 97, 123, 80, 121, 10, 36, 31,0
118, 118, 118, 148, 148, 148, 185, 185, 185, 18, 18, 18, 36, 36, 36, 54, 54, 54, 148, 148, 148,0
25, 25, 25, 51, 51, 51, 77, 76, 76, 59, 31, 25, 73, 39, 31, 92, 48, 39, 51, 51, 51,1
161, 147, 147, 202, 184, 184, 253, 230, 231, 189, 76, 89, 237, 95, 111, 255, 119, 139, 184, 202, 202,1
161, 137, 118, 201, 172, 147, 251, 215, 184, 74, 40, 24, 92, 50, 30, 115, 62, 38, 147, 176, 201,1
125, 140, 154, 157, 175, 192, 196, 219, 241, 51, 67, 87, 63, 84, 109, 79, 106, 136, 192, 174, 157,0
19, 12, 10, 38, 24, 20, 57, 37, 30, 154, 114, 92, 193, 142, 115, 241, 178, 144, 20, 34, 38,0
105, 71, 50, 131, 89, 62, 164, 111, 78, 11, 7, 6, 23, 14, 13, 34, 21, 19, 62, 104, 131,0
188, 188, 154, 235, 235, 193, 255, 255, 241, 163, 137, 91, 204, 172, 114, 255, 215, 143, 193, 193, 235,1
41, 36, 25, 83, 72, 50, 125, 108, 76, 126, 113, 91, 158, 141, 114, 198, 177, 142, 50, 61, 83,1
66, 62, 33, 82, 77, 42, 103, 97, 52, 134, 150, 46, 167, 187, 58, 209, 234, 72, 42, 47, 82,0
32, 28, 23, 65, 57, 47, 98, 85, 71, 156, 156, 155, 195, 195, 194, 244, 244, 242, 47, 55, 65,0
58, 42, 35, 72, 52, 44, 90, 65, 56, 112, 87, 79, 140, 109, 99, 175, 136, 124, 44, 64, 72,1
138, 119, 99, 172, 149, 124, 215, 186, 155, 56, 35, 16, 84, 52, 24, 127, 79, 37, 124, 147, 172,1
96, 138, 186, 120, 172, 233, 150, 216, 255, 19, 56, 135, 24, 70, 169, 30, 88, 211, 233, 181, 120,1
127, 131, 129, 158, 164, 162, 198, 206, 202, 51, 76, 70, 64, 95, 88, 80, 118, 110, 164, 158, 160,0
15, 13, 12, 30, 27, 24, 46, 40, 36, 115, 113, 114, 143, 141, 143, 179, 177, 179, 24, 27, 30,0
128, 124, 123, 160, 155, 154, 200, 193, 193, 51, 42, 41, 77, 64, 62, 116, 96, 94, 154, 159, 160,0
74, 67, 63, 93, 84, 79, 116, 105, 99, 142, 150, 171, 178, 188, 214, 223, 235, 255, 79, 88, 93,1
159, 159, 159, 199, 199, 199, 248, 248, 248, 43, 43, 43, 86, 86, 86, 129, 129, 129, 199, 199, 199,1
95, 109, 145, 119, 136, 181, 149, 170, 227, 72, 52, 44, 90, 66, 55, 113, 82, 68, 181, 164, 119,0
68, 57, 34, 85, 71, 43, 106, 89, 54, 21, 17, 6, 43, 35, 12, 64, 53, 18, 43, 57, 85,0
14, 6, 1, 28, 12, 3, 43, 18, 5, 192, 148, 115, 240, 186, 144, 255, 232, 181, 3, 19, 28,1
62, 62, 62, 78, 78, 78, 98, 98, 98, 1, 1, 1, 2, 2, 2, 4, 4, 4, 78, 78, 78,1
33, 16, 10, 66, 33, 21, 99, 50, 32, 137, 101, 80, 171, 126, 100, 214, 158, 125, 21, 54, 66,1
31, 31, 30, 62, 62, 61, 93, 94, 91, 117, 111, 101, 147, 139, 127, 183, 174, 159, 61, 61, 62,0
111, 62, 22, 138, 77, 28, 173, 96, 35, 74, 34, 2, 93, 42, 3, 116, 53, 4, 28, 89, 138,0
0, 0, 0, 1, 1, 1, 2, 2, 2, 162, 162, 162, 203, 203, 203, 254, 254, 254, 1, 1, 1,0
148, 149, 134, 185, 186, 168, 231, 232, 210, 41, 70, 109, 52, 87, 136, 65, 109, 171, 169, 168, 186,1
108, 92, 91, 135, 115, 114, 169, 144, 143, 30, 25, 23, 61, 51, 46, 91, 77, 70, 114, 134, 135,1
131, 131, 131, 164, 164, 164, 205, 205, 205, 37, 37, 37, 74, 74, 74, 111, 111, 111, 164, 164, 164,0
